Orthography,Klattese
acolyte,@kxlYt
aconite,@kxnYt
acorn,ekorn
acoustic,xkustIk
acquaint,xkwent
acquiesce,@kwiEs
acquire,xkwYr
acquisition,@kwxzIS|n
acquisitive,xkwIz|tIv
acquit,xkwIt
acre,ekX
acreage,ekXIJ
acrid,@krxd
acridity,@krId|ti
acrimonious,@krxmonixs
acrimony,@krxmoni
acrobat,@krxb@t
acrobatic,@krxb@tIk
acrobatics,@krxb@tIks
acronym,@krxnIm
acrophobia,@krxfobix
acropolis,xkrapLxs
across,xkrcs
acrostic,xkrcstIk
act,@kt
actinic,@ktInIk
actinium,@ktInixm
action,@kS|n
activate,@kt|vet
active,@ktIv
activity,@ktIvxti
actor,@ktX
actual,@kCuL
actuality,@kCu@l|ti
actually,@kCuLi
actuarial,@kCuEriL
actuary,@kCuEri
actuate,@kCuet
acuity,xkyu|ti
acumen,xkyumxn
acute,xkyut
ad,@d
adage,@dIJ
adagio,xdaJio
adamant,@dxmxnt
adamantine,@dxm@ntin
adapt,xd@pt
adaptability,xd@ptxbIl|ti
adaptation,@d@pteS|n
addendum,xdEndxm
adder,@dX
addict,@d|kt
addiction,xdIkS|n
addition,xdIS|n
additional,xdIS|nL
additive,@d|tIv
addle,@dL
address,@drEs
addressee,@drEsi
adduce,xdus
adept,xdEpt
adequate,@dIkw|t
adhere,@dhIr
adhesion,@dhiZ|n
adieu,xdyu
adios,@dios
adipose,@dxpos
adiposity,@dxpas|ti
adjacent,xJesNt
adjectival,@JIktYvL
adjective,@JIktIv
adjoin,xJOn
adjourn,xJRn
adjudge,xJ^J
adjudicate,xJudIket
adjudication,xJudIkeS|n
adjunct,@J^Gkt
adjuration,@JXeS|n
adjure,xJUr
adjust,xJ^st
adjutant,@Jxt|nt
adjuvant,@Jxvxnt
adman,@dm@n
administer,xdmIn|stX
administrative,xdmIn|stretIv
administrator,xdmIn|stretX
admirable,@dmXxbL
admiral,@dmXL
admiration,@dmXeS|n
admire,xdmYr
admirer,@dmYrX
admissible,xdmIsxbL
admission,xdmIS|n
admit,xdmIt
admittance,xdmItNs
admix,@dmIks
admixture,@dmIksCX
admonish,@dmanIS
admonition,@dmxnIS|n
admonitory,@dmanxtori
ado,xdu
adobe,xdobi
adolescence,@dxlEsNs
adopt,xdapt
adoptive,xdaptIv
adorable,xdorxbL
adoration,@dXeS|n
adore,xdor
adorn,xdorn
adrenal,xdrinL
adrift,xdrIft
adroit,xdrOt
adsorb,@dsorb
adulation,@J|leS|n
adult,xd^lt
adulterant,xd^ltXxnt
adulterate,xd^ltXet
adultery,xd^ltXi
adulthood,xd^lthUd
adumbrate,@dxmbret
adumbration,@d^mbreS|n
advance,@dv@ns
advantage,@dv@nt|J
advantageous,@dv@nteJ|s
Advent,@dvEnt
adventitious,@dvxntIS|s
adventure,xdvEnCX
adverb,@dvRb
adverbial,@dvRbiL
adversary,@dvXsEri
adversative,xdvRs|tIv
adverse,@dvRs
adversity,@dvRs|ti
advert,@dvRt
advertise,@dvXtYz
advertisement,@dvXtYzmxnt
advertising,@dvXtYzIG
advice,xdvYs
advisable,xdvYzxbL
advise,xdvYz
advisement,xdvYzmxnt
advisory,xdvYzXi
advocate,@dvxket
adze,@dz
aegis,iJ|s
aeon,ixn
aerate,Eret
aeration,EreS|n
aerial,@riL
aerialist,@riLxst
aerie,Eri
aero,Ero
aerobe,Erob
aerobic,ErobIk
aerodrome,@rxdrom
aeronaut,@rxnct
aeronautics,@rxnctIks
aeroplane,@rxplen
aerosol,@rIscl
aerospace,@rospes
aery,@ri
aesthete,EsTit
aesthetic,EsTEtIk
aestivate,Estxvet
aestivation,EstxveS|n
afar,xfar
affability,@fxbIl|ti
affable,@fxbL
affably,@fxbli
affair,xfEr
affect,xfEkt
affectation,@fEkteS|n
affection,xfEkS|n
afferent,@fXxnt
affiance,xfYxns
affidavit,@f|devxt
affiliate,xfIliet
affinity,xfIn|ti
affirm,xfRm
affirmation,@fXmeS|n
affirmative,xfRmxtIv
affix,xfIks
afflatus,xflet|s
afflict,xflIkt
affluence,@fluxns
afford,xford
affray,xfre
affright,xfrYt
affront,xfr^nt
afghan,@fg@n
afghani,@fg@ni
aficionado,xfISixnado
afield,xfild
afire,xfYr
aflame,xflem
afloat,xflot
aflutter,xfl^tX
afoot,xfUt
aforementioned,xformEnC|nd
aforesaid,xforsEd
afoul,xfWl
afraid,xfred
afresh,xfrES
African,@frIk|n
Afrikaans,@frIkans
aft,@ft
after,@ftX
afterbirth,@ftXbRT
aftermath,@ftXm@T
afternoon,@ftXnun
afterthought,@ftXTct
afterward,@ftXwXd
again,xgEn
against,xgEnst
agape,xgep
agate,@gxt
agave,xgavi
age,eJ
ageless,eJlxs
agency,eJ|nsi
agenda,xJEndx
agent,eJ|nt
agglomerate,xglamXet
agglutinate,xglutNet
aggrandize,xgr@ndYz
aggrandizement,xgr@ndYzmxnt
aggravate,@grxvet
aggravation,@grxveS|n
aggregate,@grIg|t
aggregation,@grIgeS|n
aggression,xgrES|n
aggrieve,xgriv
aghast,xg@st
agile,@JL
agility,xJIl|ti
agitate,@J|tet
agitation,@J|teS|n
agitator,@J|tetX
agleam,xglim
aglitter,xglItX
aglow,xglo
agnostic,@gnastIk
ago,xgo
agog,xgag
agonize,@g|nYz
agony,@g|ni
agora,@gXx
agoraphobia,@gXxfobix
agrarian,xgrErixn
agree,xgri
agricultural,@grIk^lCXL
agriculture,@grIk^lCX
aground,xgrWnd
ague,egyu
ahead,xhEd
ahoy,xhO
aid,ed
aigrette,egrEt
ail,el
aileron,elXan
ailment,elmxnt
aim,em
air,Er
aircraft,Erkr@ft
airlift,ErlIft
airliner,ErlYnX
airmail,Ermel
aisle,Yl
ajar,xJar
akimbo,xkImbo
akin,xkIn
alabaster,@l|b@stX
alacrity,xl@krxti
alarm,xlarm
albacore,@lbxkor
Albanian,@lbenixn
albatross,@lbxtrcs
albeit,@lbixt
albinism,@lbxnIzM
albino,@lbYno
album,@lbxm
albumen,@lbyumxn
alcalde,@lkaldi
alcazar,@lk@zX
alchemical,@lkEmIkL
alchemist,@lkxm|st
alchemy,@lkxmi
alcohol,@lkxhcl
alcoholic,@lkxhclIk
alcoholism,@lkxhclIzM
alcove,@lkov
alder,cldX
alderman,cldXmxn
alee,xli
alehouse,elhWs
alembic,xlEmbIk
alert,xlRt
Alexandrian,@lIgz@ndrixn
alfalfa,@lf@lfx
alfresco,@lfrEsko
alga,@lgx
algae,@lJi
algebra,@lJ|brx
algebraic,@lJ|breIk
Algerian,@lJIrixn
alias,elixs
alibi,@l|bY
alien,elixn
alienable,elixnxbL
alienation,elixneS|n
alienist,elixn|st
alight,xlYt
alike,xlYk
aliment,@lxmxnt
alimentary,@lxmEntXi
alimony,@lxmoni
aline,xlYn
alit,xlIt
alive,xlYv
alkali,@lkxlY
alkalinity,@lkxlInEti
alkalinize,@lkLxnYz
alkalize,@lkxlYz
alkaloid,@lkxlOd
alkyd,@lkxd
all,cl
Allah,@lx
allay,xle
allegation,@lIgeS|n
allege,xlEJ
allegedly,xlEJ|dli
allegiance,xliJ|ns
allegorical,@lxgcrIkL
allegory,@lxgori
allegro,xlEgro
alleluia,@lxluyx
allergen,@lXJ|n
allergenic,@lXJEnIk
allergic,xlRJIk
allergist,@lXJ|st
allergy,@lXJi
alleviate,xliviet
alleviation,xlivieS|n
alley,@li
Allhallows,clh@loz
alliance,xlY|ns
allied,xlYd
alligator,@lxgetX
alliterate,xlItXet
alliteration,xlItXeS|n
allocate,@lxket
allocation,@lxkeS|n
allot,xlat
allow,xlW
alloy,@lO
allspice,clspYs
allude,xlud
allure,xlUr
alluvium,xluvixm
ally,@lY
almanac,clmxn@k
almighty,clmYti
almond,amxnd
almoner,@lmxnX
almost,clmost
alms,amz
aloe,@lo
aloft,xlcft
aloha,xloha
alone,xlon
along,xlcG
alongshore,xlcGSor
alongside,xlcGsYd
aloof,xluf
aloud,xlWd
alp,@lp
alpaca,@lp@kx
alpenhorn,@lpxnhorn
alpenstock,@lpxnstak
alphabet,@lfxbEt
alphabetic,@lfxbEtIk
alphabetize,@lfxbxtYz
alphorn,@lphorn
alpine,@lpYn
already,clrEdi
also,clso
altar,cltX
alteration,cltXeS|n
altercation,cltXkeS|n
alternate,cltXet
alternation,cltXneS|n
alternative,cltRn|tIv
altho,clDo
altimeter,@ltImxtX
altitude,@lt|tud
alto,@lto
altogether,clt|gEDX
altruism,@ltruIzM
altruistic,@ltruIstIk
alum,@lxm
alumina,xlumxnx
aluminium,xlumInxm
aluminum,xlum|nxm
alumna,xl^mnx
alumnus,xl^mn|s
always,clwxz
am,@m
amah,amx
amain,xmen
amalgam,xm@lgxm
amalgamate,xm@lgxmet
amanuensis,xm@nyUEns|s
amaranth,@mX@nT
amaranthine,@mX@nT|n
amaryllis,@mXIlxs
amass,xm@s
amateur,@mxCR
amateurish,@mxCRIS
amateurism,@mxCRIzM
amatory,@mxtori
amaze,xmez
amazon,@mxzan
Amazonian,@mxzonixn
ambassador,@mb@sxdX
amber,@mbX
ambergris,@mbXgrIs
ambidextrous,@mbIdEkstr|s
ambient,@mbixnt
ambiguity,@mbxgyu|ti
ambiguous,@mbIgyuxs
ambition,@mbIS|n
ambitious,@mbIS|s
ambivalence,@mbIvLxns
amble,@mbL
ambrosia,@mbroZx
ambulance,@mbyUlxns
ambulatory,@mbyUl|tori
ambuscade,@mbxsked
ambush,@mbUS
ameliorate,xmiliXet
amen,emEn
amenable,xmEnxbL
amend,xmEnd
amendment,xmEndmxnt
amends,xmEndz
amenity,xmEn|ti
amerce,xmRs
American,xmEr|k|n
Americanization,xmErxk|n|zeS|n
americanize,xmErxk|nYz
americium,@mXIsixm
amethyst,@mxT|st
amiability,emixbIl|ti
amiable,emixbL
amiably,emixbli
amicable,@mIkxbL
amid,xmId
amiss,xmIs
amity,@mxti
ammeter,@mitX
ammo,@mo
ammonia,xmonyx
ammonite,@mxnYt
ammunition,@myunIS|n
amnesia,@mniZx
amnesty,@mn|sti
amoeba,xmibx
amok,xm^k
among,xm^G
amontillado,xmantxlado
amoral,emcrL
amorous,@mXxs
amorphous,xmorfxs
amortization,@mXtxzeS|n
amortize,@mXtYz
amount,xmWnt
amour,xmUr
ampere,@mpIr
ampersand,@mpXs@nd
amphibian,@mfIbixn
amphitheater,@mfxTixtX
amphora,@mfXx
ample,@mpL
amplification,@mplxfxkeS|n
amplifier,@mplxfYX
amplify,@mplxfY
amplitude,@mpl|tud
ampoule,@mpyul
amputate,@mpyutet
amputation,@mpyuteS|n
amputee,@mpyuti
amulet,@myUlxt
amuse,xmyuz
an,@n
anachronism,xn@krxnIzM
anachronistic,xn@krxnIstIk
anaconda,@nxkandx
anadem,@nxdEm
anaerobic,@nXobIk
anagram,@nxgr@m
anal,enL
analgesia,@nLJiZx
analog,@nxlcg
analogical,@nxlaJIkL
analogous,xn@lxg|s
analysis,xn@l|s|s
analyst,@nLxst
analytic,@nxlItIk
analyze,@nxlYz
anapest,@nxpEst
anapestic,@nxpEstIk
anarchic,@narkIk
anarchism,@nXkIzM
anarchistic,@nXkIstIk
anarchy,@nXki
anathema,xn@Txmx
anatomic,@n|tamIk
anatomist,xn@txm|st
anatomize,xn@txmYz
anatomy,xn@txmi
ancestor,@nsEstX
ancestral,@nsEstrL
anchor,@GkX
anchorage,@GkXIJ
anchorite,@GkXYt
anchovy,@nCovi
ancient,enS|nt
ancillary,@nsxlEri
and,@nd
andante,andante
andiron,@ndYrn
androgen,@ndrxJ|n
anecdote,@nIkdot
anemia,xnimix
anemometer,@nxmamxtX
anemone,xnEmxni
anent,xnEnt
anesthesia,@n|sTiZx
anesthetist,xnEsT|t|st
anew,xnu
angel,enJL
angelic,@nJElIk
anger,@GgX
angina,@nJYnx
angle,@GgL
angleworm,@GgLwRm
Anglican,@GglIk|n
anglicization,@GglxsxzeS|n
anglicize,@GglxsYz
anglophile,@GglofYl
angora,@Ggorx
angry,@Ggri
angst,aGst
anguish,@GgwIS
angular,@GgyUlX
angularity,@GgyUl@rxti
anhydrous,@nhYdrxs
aniline,@nLxn
animadvert,@nxm@dvRt
animal,@n|mL
animalcule,@nxm@lkyul
animalism,@nxmxlIzM
animate,@nxmet
animation,@nxmeS|n
animism,@nxmIzM
animistic,@nxmIstIk
animosity,@nxmas|ti
animus,@nxmxs
anise,@n|s
ankh,@Gk
ankle,@GkL
anklet,@Gkl|t
annals,@nLz
anneal,xnil
annex,xnEks
annexation,@nEkseS|n
annihilate,xnYxlet
anniversary,@nxvRsXi
annotate,@n|tet
annotation,@n|teS|n
annotator,@nxtetX
announce,xnWns
annoy,xnO
annual,@nyuL
annuitant,xnuxtNt
annuity,xnu|ti
annul,xn^l
annular,@nyUlX
annunciate,xn^nsiet
annunciation,xn^nsieS|n
anode,@nod
anodic,@nadIk
anodyne,@nxdYn
anoint,xnOnt
anomalous,xnamLxs
anomaly,xnamxli
anon,xnan
anonymity,@n|nImxti
anonymous,xnanxmxs
anonymously,xnanxmxsli
anopheles,xnafxliz
another,xn^DX
answer,@nsX
answerable,@nsXxbL
ant,@nt
antacid,@nt@s|d
antagonism,@nt@g|nIzM
antagonist,@nt@g|n|st
antarctic,@ntarktIk
ante,@nti
antebellum,@ntibElM
antecedent,@nt|sidNt
antechamber,@ntiCembX
antediluvian,@ntidxluvixn
antelope,@ntxlop
antenna,@ntEnx
antepenult,@ntIpin^lt
anterior,@ntIriX
anteroom,@ntirum
anthem,@nTxm
anther,@nTX
anthill,@nthIl
anthology,@nTalxJi
anthracite,@nTr|sYt
anthrax,@nTr@ks
anthropocentric,@nTrxposEntrIk
anthropoid,@nTrxpOd
anthropology,@nTrxpalxJi
anthropomorphism,@nTropxmorfIzM
anti,@ntY
antibiotic,@ntIbYatIk
antibody,@ntIbadi
antic,@ntIk
antichrist,@ntikrYst
anticipate,@ntIsxpet
anticlimax,@ntIklYm@ks
antidote,@ntIdot
antihistamine,@ntIhIstxmin
antiknock,@ntInak
antilogarithm,@ntIlcgXIDM
antimacassar,@ntImxk@sX
antimony,@ntxmoni
antipasto,@ntIp@sto
antipathy,@ntIpxTi
antipersonnel,@ntipRsNEl
antiphonal,@ntIfxnL
antipodes,@ntIpxdiz
antiquarian,@nt|kwErixn
antiquary,@nt|kwEri
antiquated,@nt|kwet|d
antique,@ntik
antiquity,@ntIkwxti
antiseptic,@nt|sEptIk
antisocial,@ntIsoSL
antithesis,@ntIT|s|s
antitoxin,@ntItaks|n
antivivisectionist,@ntIvIvxsEkS|n
antler,@ntlX
antonym,@nt|nIm
antrum,@ntrxm
anus,en|s
anvil,@nvL
anxiety,@GzYxti
anxious,@GS|s
any,Eni
anymore,Enimor
anyone,Eniw^n
anyway,Eniwe
aorta,eortx
apace,xpes
apart,xpart
apartheid,xpartet
apartment,xpartmxnt
apathetic,@pxTEtIk
apathy,@pxTi
ape,ep
apeak,xpik
aperitif,apErxtif
aperture,@pXCR
apex,epEks
aphasia,xfeZx
aphid,efxd
aphides,efxdiz
aphis,efxs
aphorism,@fXIzM
aphoristic,@fXIstIk
aphrodisiac,@frxdizi@k
apiary,epiEri
apices,epxsiz
apiece,xpis
aplomb,xpl^m
apocalypse,xpakxlIps
apocrypha,xpakrxfx
apogee,@pxJi
apologetic,xpalxJEtIk
apologia,@pxloJix
apologize,xpalxJYz
apoplectic,@pxplEktIk
apoplexy,@pxplEksi
aport,xport
apostasy,xpast|si
apostate,xpastet
apostle,xpasL
apostolic,@pxstalIk
apostrophe,xpastrxfi
apothecary,xpaTxkEri
apothegm,@pxTEm
apotheosis,xpaTios|s
appal,xpcl
appanage,@pxnIJ
apparatus,@pX@t|s
apparel,xp@rL
apparent,xp@rxnt
apparition,@pXIS|n
appeal,xpil
appear,xpIr
appearance,xpIrxns
appease,xpiz
appellant,xpElxnt
appellate,xpElxt
appellation,@pxleS|n
appellee,@pxli
append,xpEnd
appendage,xpEndIJ
appendectomy,@pxndEktxmi
appendicitis,xpEnd|sYt|s
appendix,xpEndIks
appertain,@pXten
appetite,@pxtYt
appetizer,@pxtYzX
applaud,xplcd
applause,xplcz
apple,@pL
appliance,xplY|ns
applicability,@plIkxbIl|ti
applicable,@plIkxbL
applicant,@plIk|nt
application,@pl|keS|n
applicator,@plxketX
applied,xplYd
applique,@plxke
apply,xplY
appoint,xpOnt
appointee,xpOnti
appointive,xpOntIv
appointment,xpOntmxnt
apportion,xporS|n
apposite,@pxz|t
apposition,@pxzIS|n
appositive,xpaz|tIv
appraise,xprez
appreciable,xpriSxbL
appreciate,xpriSiet
appreciative,xpriS|tIv
apprehend,@prEhEnd
apprehensive,@prIhEnsIv
apprentice,xprEnt|s
apprize,xprYz
approach,xproC
approbation,@prxbeS|n
appropriate,xproprixt
appropriation,xproprieS|n
approval,xpruvL
approve,xpruv
approximate,xpraks|mxt
approximation,xpraks|meS|n
appurtenance,xpRt|n|ns
apricot,@prxkat
April,eprL
apron,eprxn
apropos,@prxpo
apse,@ps
apt,@pt
aptitude,@pt|tud
aquacade,@kwxked
aqualung,@kwxl^G
aquamarine,@kwxmXin
aquaplane,@kwxplen
aquarium,xkw@rixm
Aquarius,xkw@rixs
aquatic,xkwatIk
aqueduct,@kwxd^kt
aqueous,ekwixs
aquiline,@kwxlYn
Arab,@rxb
arabesque,@rxbEsk
Arabian,xrebixn
Arabic,@rxbIk
arable,@rxbL
arbalist,arbLxst
arbiter,arbxtX
arbitrament,arbItrxmxnt
arbitrarily,arbxtrErxli
arbitrariness,arbxtrErin|s
arbitrary,arbxtrEri
arbitrate,arbxtret
arbitration,arbxtreS|n
arbitrator,arbxtretX
arbor,arbX
arboreal,arboriL
arboretum,arbXitM
arborvitae,arbXvYti
arbutus,arbyut|s
arc,ark
arcade,arked
arcane,arken
arch,arC
archaeology,arkialxJi
archaic,arkeIk
archangel,arkenJL
archbishop,arCbISxp
archduke,arCduk
archenemy,arCEnxmi
archer,arCX
archery,arCXi
archetype,arkItYp
archfiend,arCfind
archiepiscopal,arkixpIskxpEl
archimandrite,arkxm@ndrYt
archipelago,arkxpElxgo
architect,ark|tEkt
architectonic,arkxtEktanIk
architectural,ark|tEkCXL
architecture,ark|tEkCX
architrave,arkxtrev
archive,arkYv
archivist,arkxv|st
archon,arkan
archway,arCwe
arctic,arktIk
ardent,ardNt
ardor,ardX
arduous,arJuxs
are,ar
area,@rix
arena,xrinx
argent,arJ|nt
argentine,arJ|ntYn
argon,argan
argosy,arg|si
argot,argo
arguable,argyuxbL
argue,argyu
argumentation,argyumxnteS|n
argumentative,argyumEnt|t|v
argyle,argYl
aria,arix
arid,@rxd
aridity,@rId|ti
Aries,@riiz
aright,xrYt
arise,xrYz
aristocracy,@r|stakr|si
aristocrat,xrIst|kr@t
aristocratic,xrIst|kr@tIk
arithmetic,xrITmxtIk
arithmetical,@rITmEtIkL
arithmetician,xrITmxtIS|n
arm,arm
armada,armadx
armadillo,armxdIlo
Armageddon,armxgEdN
armament,armxmxnt
armature,armxCUr
armchair,armCEr
armhole,armhol
armistice,armxst|s
armlet,armlxt
armor,armX
armorial,armoriL
armory,armXi
armpit,armpIt
army,armi
arnica,arnIkx
aroma,xromx
aromatic,@rxm@tIk
around,xrWnd
arouse,xrWz
arpeggio,arpEJio
arraign,xren
arrange,xrenJ
arrant,@rxnt
arras,@rxs
array,xre
arrears,xrIrz
arrest,xrEst
arrival,xrYvL
arrogant,@rxg|nt
arrogate,@rxget
arrow,@ro
arroyo,xrOx
arsenal,arsnL
arsenic,arsNIk
arsenical,arsEnIkL
arsenious,arsinixs
arson,arsN
art,art
artefact,art|f@kt
arterial,artIriL
arteriosclerosis,artIriosklxros|
artery,artXi
artful,artfL
arthritis,arTrYt|s
arthropod,arTrxpad
artichoke,artxCok
article,artIkL
articular,artIkyUlX
articulate,artIkyulxt
articulation,artIkyUleS|n
artifice,art|fxs
artificer,artIfxsX
artificial,art|fISL
artillery,artIlXi
artisan,art|z|n
artist,art|st
artiste,artist
artistic,artIstIk
artistry,art|stri
artless,artlxs
arty,arti
arum,@rM
Aryan,@rixn
as,@z
asafoetida,@sxfIt|di
asbestus,@sbEst|s
ascend,xsEnd
ascendency,xsEnd|nsi
ascendent,xsEnd|nt
ascension,xsEnC|n
ascent,xsEnt
ascertain,@sXten
ascetic,xsEtIk
ascribe,xskrYb
aseptic,esEptIk
asexual,esEkSuL
ash,@S
ashamed,xSemd
ashen,@S|n
ashlar,@SlX
ashore,xSor
ashy,@Si
Asian,eZ|n
aside,xsYd
asinine,@sNYn
asininity,@sNIn|ti
ask,@sk
askance,xsk@ns
askew,xskyu
aslant,xsl@nt
asleep,xslip
asp,@sp
asparagus,xsp@rxg|s
aspect,@spEkt
aspen,@spxn
asperity,@spErxti
aspersion,xspRz|n
asphalt,@sfclt
asphodel,@sfxdEl
asphyxiate,@sfIksiet
aspic,@spIk
aspirant,@spXxnt
aspiration,@spXeS|n
aspire,xspYr
aspirin,@spX|n
ass,@s
assail,xsel
assassin,xs@sN
assault,xsclt
assay,@se
assemblage,xsEmblIJ
assemble,xsEmbL
assembly,xsEmbli
assert,xsRt
assertion,xsRS|n
assess,xsEs
asset,@sEt
asseverate,xsEvxret
assiduity,@sxdyuxti
assiduous,xsIJuxs
assiduously,xsIJUxsli
assign,xsYn
assignation,@sIgneS|n
assignment,xsYnmxnt
assimilate,xsImxlet
assist,xsIst
assistant,xsIst|nt
assize,xsYz
associate,xsosiet
association,xsosieS|n
associative,xsosixt|v
assonance,@s|n|ns
assort,xsort
assuage,xsweJ
assume,xsum
assumption,xs^mS|n
assurance,xSUrxns
assure,xSUr
assured,xSUrd
astatine,@stxtin
aster,@stX
asterisk,@stXIsk
astern,xstRn
asteroid,@stXOd
asthma,@zmx
asthmatic,@zm@tIk
astigmatism,xstIgmxtIzM
astir,xstR
astonish,xstanIS
astound,xstWnd
astraddle,xstr@dL
astrakhan,@strxkxn
astral,@strL
astray,xstre
astride,xstrYd
astringent,xstrInJ|nt
astrolabe,@strxleb
astrological,@strxlaJIkL
astrology,xstralxJi
astronaut,@strxnct
astronautical,@strxnctIkL
astronomical,@strxnamIkL
astronomy,xstranxmi
astrophysics,@strxfIzIks
astute,xstut
asunder,xs^ndX
asylum,xsYlxm
asymmetric,esxmEtrIk
at,@t
atavism,@txvIzM
atavistic,@txvIstIk
ate,et
atelier,@tLye
atheism,eTiIzM
atheist,eTi|st
atheistic,eTiIstIk
atheneum,@Txnixm
athirst,xTRst
athlete,@Tlit
athletic,@TlEtIk
athwart,xTwort
atilt,xtIlt
atlas,@tlxs
atmosphere,@tmxsfIr
atmospheric,@tmxsfIrIk
atoll,@tcl
atom,@tM
atomic,xtamIk
atomics,xtamIks
atomize,@txmYz
atonal,etonL
atonality,eton@l|ti
atonally,etonLi
atone,xton
atop,xtap
atrium,etrixm
atrocious,xtroS|s
atrocity,xtras|ti
atrophy,@trxfi
atropine,@trxpin
attach,xt@C
attache,@txSe
attachment,xt@Cmxnt
attack,xt@k
attain,xten
attainability,xtenxbIlxti
attainder,xtendX
attainment,xtenmxnt
attaint,xtent
attar,@tX
attempt,xtEmpt
attend,xtEnd
attendance,xtEnd|ns
attention,xtEnC|n
attenuate,xtEnyuet
attenuation,xtEnyueS|n
attest,xtEst
attestation,@tEsteS|n
attic,@tIk
attire,xtYr
attitude,@t|tud
attitudinize,@txtudNYz
attorney,xtRni
attract,xtr@kt
attraction,xtr@kS|n
attributable,xtrIbyutxbL
attribute,@trxbyut
attribution,@trxbyuS|n
attributive,xtrIbyUtIv
attrition,xtrIS|n
attune,xtun
atypical,etIpIkL
auburn,cbXn
auction,ckS|n
auctioneer,ckS|nIr
auctorial,cktoriL
audacious,cdeS|s
audacity,cd@s|ti
audibility,cdxbIl|ti
audible,cd|bL
audibly,cdxbli
audience,cdixns
audio,cdio
audiophile,cdiofYl
audiovisual,cdiovIZuL
audit,cd|t
audition,cdIS|n
auditor,cd|tX
